Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Digikey~String~Digikey~100|Field=Digikey Link~String~Digikey Link~100|Field=MF~String~MF~100|Field=MP~String~MP~100|Field=Package~String~Package~100|Field=Price~String~Price~100|Field=Quantity~Integer~Quantity~100|Field=Rating~String~Rating~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~power_distribution.PrjPCB|ReportField=ProjectFullPath~C:\Users\Hannah\Desktop\Thunderbots\PCB_Power\Power\v2.0\power_distribution.PrjPCB|ReportField=Title~Bill of Materials For Project [power_distribution.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~2:01:46 PM|ReportField=ReportDate~2020-03-08|ReportField=ReportDateTime~2020-03-08 2:01:46 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~50|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~14025981403539a8bdf8907ea30115d65588fdeb|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020-03-08|ReportField=CurrentTime~2:01:42 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Hannah\Desktop\Thunderbots\PCB_Power\Power\v2.0\power_distribution.SchDoc|ReportField=DocumentName~power_distribution.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020-03-08|ReportField=Organization~|ReportField=ProjectName~power_distribution.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~power_distribution.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Hannah\Desktop\Thunderbots\PCB_Power\Power\v2.0\power_distribution.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|100nF|CAP CER 0.1UF 50V X7R 0805|C1, C3, C6|311-1140-1-ND|https://www.digikey.ca/products/en?keywords=311-1140-1-ND|Yageo|CC0805KRX7R9BB104|0805|0,119 CAD|3|50V|100nF
2|10uF|CAP CER 10UF 50V X7R 1210|C7, C8|1276-3388-1-ND|https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL32B106KBJNNWE/1276-3388-1-ND/3891474|Samsung Electro-Mechanics|CL32B106KBJNNWE|1210|0.95 CAD|2|50V|10uF
3|8.2nF|CAP CER 8200PF 50V X7R 0805|C9|399-9275-1-ND|https://www.digikey.ca/product-detail/en/kemet/C0805C822K5RACTU/399-9275-1-ND/3522793|KEMET|C0805C822K5RACTU|0805|0,17 CAD|1|50V|8.2nF
4|47uF|CAP CER 47UF 6.3V X7R 1210|C10, C11|490-4844-1-ND|https://www.digikey.ca/product-detail/en/murata-electronics/GCM32ER70J476KE19L/490-4844-1-ND/1763982|Murata Electronics|GCM32ER70J476KE19L|1210|1.68 CAD|2|6.3V|47uF
5|10pF|CAP CER SMD 0603 10PF 10% X7R 50|C12|399-17562-1-ND|https://www.digikey.ca/product-detail/en/kemet/C0603C100K5RAC7867/399-17562-1-ND/8572562|KEMET|C0603C100K5RAC7867|0603|0.4 CAD|1|50V|10pF
6|1nF|CAP CER 1000PF 50V X7R 0805|C13|311-1127-1-ND|https://www.digikey.ca/products/en?keywords=311-1127-1-ND|Yageo|CC0805KRX7R9BB102|0805|0.1 CAD|1|50V|1nF
7|4.7uF|CAP CER 4.7UF 25V X5R 0805|C14, C15|1276-2873-1-ND|https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B475KOFNNNE/1276-2873-1-ND/3890959|Samsung Electro-Mechanics|CL21B475KOFNNNE|0805|0,49 CAD|2|16V|4.7uF
8|MMSZ5245B-TP|Zener Diode 15V 500mW ±5% Surface Mount SOD-123|D1|||ON Semiconductor|MMSZ5224BT1G|SOD-123 ON Semiconductor|None|1||
9|LED2|Typical RED, GREEN, YELLOW, AMBER GaAs LED|D3, D4, D5|160-1446-1-ND|https://www.digikey.ca/products/en?keywords=160-1446-1-ND|Lite-On Inc.|LTST-C191KGKT|0603||3|2V|
10|SBRD10200TR|Diode Schottky 200V 10A Surface Mount DPAK|D8|1655-1939-1-ND|https://www.digikey.ca/product-detail/en/smc-diode-solutions/SBRD10200TR/1655-1939-1-ND/8625508|SMC Diode|SBRD10200TR|TO-252-3 SMC||1||
